NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7_0101300	2416.751687	1	1	1	1	1	1	1	1
PF3D7_0102200	2664.833301	19414.83502	1305.992084	1650.944845	23354.57615	1879.480589	1374.761413	698.9107976	794.2723829
PF3D7_0102300	550.5181827	1	591.6779024	169.499558	1	1	166.2345948	1	62.42131095
PF3D7_0102500	1	1	1	1	6151.149291	1810.494741	1	1	1
PF3D7_0102600	1	1	1	1	1	1	119.6839962	1	1
PF3D7_0102700	1	341.6275492	1	1	214.3277985	1	1	1	1
PF3D7_0102800	143.0193493	1	162.3698778	1	1	1	177.2356721	1	1
PF3D7_0102900	726.1660311	301.3198381	269.2837441	117.9755478	1	1	303.0912491	1	77.48277333
PF3D7_0103000	1	1	1	1	1	1	1	1	89.11648274
PF3D7_0103100	1	1	126.4008281	266.4829174	1	1	108.3985861	178.2245321	95.27090347
PF3D7_0103700	1	1	1	1	1	1	192.0468158	149.3980176	135.9938072
PF3D7_0103800	1	1	1	1	1	1	1	106.6212481	1
PF3D7_0103900	227.9285346	1	329.0276204	89.77657967	1	1	199.7390212	1	1
PF3D7_0104100	1	1	68.76693247	151.1909959	1	1	1	1	1
PF3D7_0104200	162.6191258	1	127.8174308	75.53673324	2001.516372	659.8564447	127.1144368	93.46876637	1
PF3D7_0104300	933.599516	3387.812229	642.1068926	367.7695985	10791.27495	1185.425679	981.2268948	253.2458303	613.1601434
PF3D7_0104500	501.8484326	260.5434345	123.7598599	1	1	1	247.974838	1	68.4983107
PF3D7_0104800	1	1	72.06185207	57.05330735	163.0471895	130.4444567	1	1	1
PF3D7_0105300	1	1	55.15077636	252.5902952	1	265.6373742	1	1	1
PF3D7_0105500	51.80373929	1	1	1	1	1	1	71.61977466	1
PF3D7_0106000	1	1	137.9623349	366.2334222	1	275.4464246	1	142.7394981	1
PF3D7_0106200	1	1	131.5686133	352.5980485	1	1	1	1	1
PF3D7_0106400	307.6694832	610.1750851	113.1984548	1	1	1	398.4965867	240.8230669	139.2256432
PF3D7_0107100	152.9479791	1	103.9757217	1	1	1	191.6018595	1	101.2497919
PF3D7_0107500	564.6165105	1299.382115	493.1432502	229.4500718	6283.466087	278.5284027	386.0373087	109.7898699	317.5125387
PF3D7_0107600	1	1	1	1	1	1	201.2403624	329.4089768	631.9678087
PF3D7_0107700	1	1	63.84656079	1	1	1	192.6667403	256.042643	228.2171175
PF3D7_0107900	135.6892606	1	78.53743863	1	1	1	195.5258315	163.1802043	1
PF3D7_0108000	76.7799909	1	108.6380051	90.67250813	1	1	110.6286846	1	1
PF3D7_0108400_1	1	1	1	1	1	1	121.4729363	1	1
PF3D7_0108500	709.3653105	5294.375674	458.702501	379.4714397	7012.976633	406.6188213	527.3125971	263.9383865	329.3697284
PF3D7_0108600	60.90521212	1	153.9930066	53.53313174	1	1	1	164.7942228	1
PF3D7_0109000	1	1	1	1	1625.326615	563.4267283	1	293.6024041	193.8958546
PF3D7_0109100	1	1	1	1	232.2532796	119.4755172	1	807.0089416	1
PF3D7_0109200	114.2805806	1	135.0007128	1	1	1	1	1	78.74099325
PF3D7_0109300	1	1	1	1	1	1	231.6883233	191.7118804	1
PF3D7_0109400	166.5896355	1	1	1	1	1	354.2069114	1160.568934	1165.448755
PF3D7_0109500	1	1	1	1	1	1	1	299.9434362	1
PF3D7_0109600	85.09739163	1	1	1	1	1	233.7276958	98.77661257	1
PF3D7_0109850	1	1	361.9470607	277.1059711	1	1	98.83394507	59.03981381	98.45398693
PF3D7_0109950	1	1	1	1	1	1	113.1060848	79.23248262	1
PF3D7_0110000	1	1	1	1	1	1	122.1346279	3985.447515	383.2693136
PF3D7_0110100	1	1	83.26245978	1	1	1	140.0788664	66.52329475	81.11395134
PF3D7_0110200	1	1	54.80151332	1	1	1	87.47983891	77.36135729	1
PF3D7_0110700	603.5744654	1	270.6323682	1	1	1	501.7638006	85.10563158	1175.660818
PF3D7_0110900	76.56137059	1	1	1	1	1	1	1	1
PF3D7_0111000	1	1	97.54670026	224.3704353	1	129.6520359	231.0737011	151.8622368	1095.175867
PF3D7_0111200	1	1	55.82663007	1	1	1	1	1	1
PF3D7_0111500	243.8117463	1	203.3905105	268.1195429	1	491.0109149	132.4298771	1	121.3348447
PF3D7_0111600	1	1	1	1	1	1	1	103.0991683	74.42939684
PF3D7_0111800	191.5947461	1	106.5816247	1	1	1	220.1371607	67.43846443	1
PF3D7_0112000	150.866987	1	124.8492279	1	1	1	95.0002013	1	111.2253621
PF3D7_0112200	1016.692804	1	733.079022	88.05365632	1	1	1	1	1
PF3D7_0112900	1	1	1	1	197.7068823	1	1	1	1
PF3D7_0113000	5539.048531	7167.006576	554.0347029	221.9490226	251.7344826	87.43817663	525.3133919	1	147.2300684
PF3D7_0113100	1	1	1	1	1	1	101.9888398	1	61.61600381
PF3D7_0113200	552.6613443	1	415.8264258	245.3198571	1	1	131.0185918	1	1
PF3D7_0113300	77.7249109	439.5618295	1	1	130.4214632	1	79.72020329	1	1
PF3D7_0113400	1	1	1	1	1	1	226.9251978	1	149.050163
PF3D7_0113700	1	164.6844748	1	1	1	1	1	1	1
PF3D7_0113800	1	1	117.5039788	161.9457357	1	1	1	1	1
PF3D7_0114000	1	1	1	210.1523521	1	1	204.4350642	661.236333	1206.419577
PF3D7_0201500	277.83198	1	114.5271875	1	1	1	1	1	1
PF3D7_0201600	327.4443821	603.3942876	1	1	1	1	1	1	1
PF3D7_0201700	144.263206	871.0301759	1	1	485.0002812	1	1	1	1
PF3D7_0201800	217.6589779	611.7836686	1	1	1	1	1	1	1
PF3D7_0201900	1086.469226	692.4801189	561.571736	269.6772363	1	1	1	1	1
PF3D7_0202000	4408.605857	9207.062572	1475.145641	658.6721899	881.1537289	215.6748495	495.6652954	1	261.1094237
PF3D7_0202100	1	503.0983334	1	1	2320.83183	181.0485093	1	1	1
PF3D7_0202200	1	565.7983804	1	1	331.5981385	1	1	1	1
PF3D7_0202300	85.47067559	1	1	1	1	1	1	1	1
PF3D7_0202400	169.4278101	260.5980902	389.3738997	170.7329237	1	1	1	1	1
PF3D7_0202500	916.9724938	5187.948748	779.5061709	378.500593	15750.09962	632.2670509	606.665946	184.5670568	326.5481829
PF3D7_0202700	133.4948377	1	126.5867873	103.7633974	1	1	145.3149927	1	1
PF3D7_0202800	1	1	81.63271544	120.3262094	1	1	1	1	68.94148633
PF3D7_0202900	1	1	124.4954524	128.796917	1	1	1	1	73.605969
