genesymbols	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0100100	1	1	1	1	1	1	1	1	1
PF3D7.0100200	1	1	1	1	1	1	1	1	1
PF3D7.0100300	1	1	1	1	1	1	1	1	1
PF3D7.0100400	1	1	1	1	1	1	1	1	1
PF3D7.0100600	1	1	1	1	1	1	1	1	1
PF3D7.0100800	1	1	1	1	1	1	1	1	1
PF3D7.0100900	1	1	1	1	1	1	1	1	1
PF3D7.0101000	1	1	1	1	1	1	1	1	1
PF3D7.0101300	2416.75168685673	1	1	1	1	1	1	1	1
PF3D7.0101600	1	1	1	1	1	1	1	1	1
PF3D7.0101800	1	1	1	1	1	1	1	1	1
PF3D7.0101900	1	1	1	1	1	1	1	1	1
PF3D7.0102200	2664.83330138618	19414.8350220383	1305.99208381472	1650.9448449596	23354.5761503563	1879.48058925432	1374.76141292535	698.910797586012	794.272382901287
PF3D7.0102300	550.518182712511	1	591.677902420071	169.499557953843	1	1	166.23459484501	1	62.4213109464243
PF3D7.0102500	1	1	1	1	6151.14929089893	1810.49474094958	1	1	1
PF3D7.0102600	1	1	1	1	1	1	119.683996183907	1	1
PF3D7.0102700	1	341.627549152654	1	1	214.327798469124	1	1	1	1
PF3D7.0102800	143.01934932309	1	162.369877768841	1	1	1	177.23567209335	1	1
PF3D7.0102900	726.166031099259	301.319838139808	269.283744144766	117.975547808677	1	1	303.091249146003	1	77.4827733330248
PF3D7.0103000	1	1	1	1	1	1	1	1	89.1164827399412
PF3D7.0103100	1	1	126.400828088197	266.482917351015	1	1	108.398586057948	178.224532102803	95.2709034651053
PF3D7.0103200	222.719938604869	1	221.065285981457	1	1	1	239.52664174748	169.164096906808	136.340215180055
PF3D7.0103300	160.123448234084	157.930910395998	145.546355200927	116.809190713945	138.829152112311	100.223770484415	151.799662561363	1	97.2659382450773
PF3D7.0103400	743.650464288761	628.762813529807	729.824708501519	576.440823390815	2265.08904737649	1126.33216122044	563.598259088758	1077.61145727978	779.394473809668
PF3D7.0103500	155.097072091743	1	120.662182370882	1	1	1	246.670267590439	140.689515936629	281.586619887454
