NAME	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0101300	2416.75168685673	1	1	1	1	1	1	1	1
PF3D7.0102200	2664.83330138618	19414.8350220383	1305.99208381472	1650.9448449596	23354.5761503563	1879.48058925432	1374.76141292535	698.910797586012	794.272382901287
PF3D7.0102300	550.518182712511	1	591.677902420071	169.499557953843	1	1	166.23459484501	1	62.4213109464243
PF3D7.0102500	1	1	1	1	6151.14929089893	1810.49474094958	1	1	1
PF3D7.0102600	1	1	1	1	1	1	119.683996183907	1	1
PF3D7.0102700	1	341.627549152654	1	1	214.327798469124	1	1	1	1
PF3D7.0102800	143.01934932309	1	162.369877768841	1	1	1	177.23567209335	1	1
PF3D7.0102900	726.166031099259	301.319838139808	269.283744144766	117.975547808677	1	1	303.091249146003	1	77.4827733330248
PF3D7.0103000	1	1	1	1	1	1	1	1	89.1164827399412
PF3D7.0103100	1	1	126.400828088197	266.482917351015	1	1	108.398586057948	178.224532102803	95.2709034651053
PF3D7.0103700	1	1	1	1	1	1	192.046815848948	149.398017581641	135.993807180353
PF3D7.0103800	1	1	1	1	1	1	1	106.62124810112	1
PF3D7.0103900	227.92853460475	1	329.027620445713	89.7765796695976	1	1	199.739021236704	1	1
PF3D7.0104100	1	1	68.7669324650817	151.190995925306	1	1	1	1	1
PF3D7.0104200	162.619125825033	1	127.817430755298	75.5367332416799	2001.51637190528	659.856444709981	127.114436837898	93.4687663702803	1
PF3D7.0104300	933.599516045982	3387.81222878677	642.106892553934	367.769598495228	10791.2749480132	1185.42567885969	981.226894778501	253.245830295988	613.160143416925
PF3D7.0104500	501.848432637671	260.54343449384	123.759859888513	1	1	1	247.974838008571	1	68.4983107013746
PF3D7.0104800	1	1	72.0618520684973	57.0533073511977	163.047189504872	130.444456701436	1	1	1
PF3D7.0105300	1	1	55.1507763579119	252.590295169691	1	265.637374155774	1	1	1
PF3D7.0105500	51.8037392902287	1	1	1	1	1	1	71.6197746599861	1
PF3D7.0106000	1	1	137.962334917483	366.23342223465	1	275.446424646612	1	142.739498117955	1
PF3D7.0106200	1	1	131.5686132925	352.598048506872	1	1	1	1	1
PF3D7.0106400	307.669483209889	610.175085118378	113.198454830422	1	1	1	398.496586727474	240.823066850177	139.22564321674
PF3D7.0107100	152.947979147429	1	103.975721655566	1	1	1	191.601859490159	1	101.249791904466
PF3D7.0107500	564.616510466577	1299.38211544716	493.14325018003	229.450071756461	6283.46608706999	278.528402692556	386.037308652884	109.789869851275	317.512538728317
PF3D7.0107600	1	1	1	1	1	1	201.240362389246	329.408976770908	631.967808725048
PF3D7.0107700	1	1	63.8465607903274	1	1	1	192.666740344386	256.042642982258	228.217117472108
PF3D7.0107900	135.689260567849	1	78.5374386278701	1	1	1	195.525831479178	163.180204254561	1
PF3D7.0108000	76.7799909005971	1	108.638005089588	90.6725081295711	1	1	110.628684553678	1	1
PF3D7.0108400.1	1	1	1	1	1	1	121.472936349439	1	1
PF3D7.0108500	709.365310545396	5294.37567424492	458.702501013796	379.471439748373	7012.97663260951	406.618821334313	527.312597115277	263.938386518074	329.369728356708
PF3D7.0108600	60.9052121156406	1	153.99300655883	53.5331317395573	1	1	1	164.794222785935	1
PF3D7.0109000	1	1	1	1	1625.32661517493	563.426728294132	1	293.602404120113	193.895854616015
PF3D7.0109100	1	1	1	1	232.253279615663	119.475517179324	1	807.008941633889	1
PF3D7.0109200	114.280580607616	1	135.000712815115	1	1	1	1	1	78.7409932538473
PF3D7.0109300	1	1	1	1	1	1	231.688323319186	191.711880404918	1
PF3D7.0109400	166.589635488297	1	1	1	1	1	354.206911397212	1160.5689343435	1165.44875507602
PF3D7.0109500	1	1	1	1	1	1	1	299.943436211793	1
PF3D7.0109600	85.0973916298189	1	1	1	1	1	233.727695812152	98.7766125667432	1
PF3D7.0109850	1	1	361.947060694523	277.105971148038	1	1	98.833945073304	59.0398138053065	98.4539869305922
PF3D7.0109950	1	1	1	1	1	1	113.106084815253	79.2324826153968	1
PF3D7.0110000	1	1	1	1	1	1	122.134627876359	3985.44751487609	383.26931363301
PF3D7.0110100	1	1	83.2624597848049	1	1	1	140.07886635616	66.523294745996	81.1139513397733
PF3D7.0110200	1	1	54.8015133237009	1	1	1	87.4798389143292	77.3613572902396	1
PF3D7.0110700	603.574465417197	1	270.632368249851	1	1	1	501.763800611716	85.1056315750404	1175.66081814554
PF3D7.0110900	76.5613705889855	1	1	1	1	1	1	1	1
PF3D7.0111000	1	1	97.5467002643164	224.370435285567	1	129.652035886074	231.073701119031	151.862236844837	1095.17586716441
PF3D7.0111200	1	1	55.8266300744133	1	1	1	1	1	1
PF3D7.0111500	243.811746301464	1	203.390510540279	268.119542881741	1	491.010914892443	132.429877092215	1	121.33484474321
PF3D7.0111600	1	1	1	1	1	1	1	103.099168338523	74.4293968364279
PF3D7.0111800	191.594746118736	1	106.581624651795	1	1	1	220.137160662098	67.4384644331287	1
PF3D7.0112000	150.866986999099	1	124.8492278959	1	1	1	95.0002013025901	1	111.225362113276
PF3D7.0112200	1016.69280426666	1	733.079022048038	88.0536563230004	1	1	1	1	1
PF3D7.0112900	1	1	1	1	197.706882341645	1	1	1	1
PF3D7.0113000	5539.04853061613	7167.00657621446	554.034702888146	221.949022626977	251.734482646045	87.4381766319021	525.313391875254	1	147.230068370127
PF3D7.0113100	1	1	1	1	1	1	101.988839772395	1	61.6160038139468
PF3D7.0113200	552.661344314905	1	415.826425828966	245.319857092654	1	1	131.01859177913	1	1
PF3D7.0113300	77.724910895486	439.561829547123	1	1	130.42146322895	1	79.7202032879424	1	1
PF3D7.0113400	1	1	1	1	1	1	226.925197766557	1	149.050162962476
PF3D7.0113700	1	164.684474793664	1	1	1	1	1	1	1
PF3D7.0113800	1	1	117.503978785139	161.94573565606	1	1	1	1	1
PF3D7.0114000	1	1	1	210.152352067261	1	1	204.43506416139	661.236332961734	1206.41957721742
PF3D7.0201500	277.831980003422	1	114.527187523945	1	1	1	1	1	1
PF3D7.0201600	327.444382051372	603.394287561977	1	1	1	1	1	1	1
PF3D7.0201700	144.263205986449	871.030175867914	1	1	485.000281218573	1	1	1	1
PF3D7.0201800	217.658977855418	611.783668608382	1	1	1	1	1	1	1
PF3D7.0201900	1086.46922635638	692.480118850876	561.571735966364	269.677236265024	1	1	1	1	1
PF3D7.0202000	4408.60585706772	9207.06257211732	1475.14564111753	658.672189926433	881.153728929498	215.674849532082	495.665295398172	1	261.109423715826
PF3D7.0202100	1	503.098333371967	1	1	2320.83182957459	181.048509320136	1	1	1
PF3D7.0202200	1	565.798380362731	1	1	331.598138507467	1	1	1	1
PF3D7.0202300	85.4706755882739	1	1	1	1	1	1	1	1
PF3D7.0202400	169.427810132828	260.598090176433	389.373899742997	170.732923746554	1	1	1	1	1
PF3D7.0202500	916.972493794103	5187.94874788862	779.506170941674	378.500592954389	15750.0996238816	632.26705093671	606.665945992865	184.56705678461	326.548182914999
PF3D7.0202700	133.494837720236	1	126.586787279037	103.763397362419	1	1	145.314992737157	1	1
PF3D7.0202800	1	1	81.6327154393493	120.326209376235	1	1	1	1	68.9414863336329
PF3D7.0202900	1	1	124.495452430461	128.796916965688	1	1	1	1	73.6059690020314
PF3D7.0203000	95.09390235989	1	245.243417696576	323.451579686522	389.496203834312	1166.41682591521	162.765147842152	127.363745675166	145.834833760118
PF3D7.0203100	1	1	1	1	439.129301262034	2101.15408592593	217.397640417501	508.121957056927	477.299416076221
PF3D7.0203600	1	1	70.8163208981127	1	1	1	1	1	155.238945089505
PF3D7.0203700	354.805420805597	786.220046470854	98.7206838254178	1	248.147451324153	1	296.837480228435	187.85492731068	55.2285580232518
PF3D7.0203800	1	1	1	1	1	1	1	399.585622080777	71.3384202780237
PF3D7.0204000	1	1	58.1081544027315	1	1	1	1	61.5498524453204	479.225698726977
PF3D7.0204200	318.11390996971	243.767365428329	169.582067646715	106.178239162303	1663.08339221502	400.345247663748	244.179091158907	181.228422197959	110.297233921984
PF3D7.0204300	1	1	66.0414251056772	1	1	1	1	1	661.123948303364
PF3D7.0204400	1	1	1	1	1	1	1	1	87.3767545857347
PF3D7.0204500	232.579435947295	226.822520576389	105.980446013875	79.2994638862311	1	1	1	1	1
