genesymbols	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0100100	1	1	1	2091.28210228688	1	1	1	1	1
PF3D7.0100200	1	1	1	1	1	1	1	1	1
PF3D7.0100300	1	1	1	1	1	1	1	1	1
PF3D7.0100400	1	1	1	1	1	1	1	1	1
PF3D7.0100600	1	1	1	1	1	1	1	1	1
PF3D7.0100800	1	1	1	1	1	1	1	1	1
PF3D7.0100900	1	1	1	1	1	1	1	1	1
PF3D7.0101000	1	1	1	1	1	1	1	1	1
PF3D7.0101300	42117.8313331015	1	1	1	1	1	1	1	1
PF3D7.0101600	1	1	1	1	1	1	1	1	1
PF3D7.0101800	1	1	1	1	1	1	1	1	1
PF3D7.0101900	1	1	1	1	1	1	1	1	1
PF3D7.0102200	72932.5589429815	366007.398044743	69299.3488800542	111047.857847878	298389.611462955	168627.005917741	83908.2508538612	18496.3725784203	52062.7503956713
PF3D7.0102300	23858.2025974762	2067.94270089194	28319.0793067064	8917.84863071874	1	1	7428.71196084591	1	1898.25600897588
PF3D7.0102500	1	1	1946.19946150678	1	118878.284728617	50926.3495893844	1	1	1
PF3D7.0102600	2544.14591816024	3366.08561237196	1	1	1178.41219563435	1	3464.20884612295	1	3200.04030027715
PF3D7.0102700	1	5415.80811631758	1	1	3791.83023482836	3579.30986206105	3074.37160415887	1	1670.3114912036
PF3D7.0102800	4185.51230790535	1	6618.04156317461	2809.01204018892	1	1	4629.67058566513	2488.64515037454	1905.32233167393
PF3D7.0102900	29785.42854697	9053.14074059	14203.3932943556	6169.69659725883	1865.92400303309	3534.7453069887	10841.4565038699	1891.34872931158	2346.07999772083
PF3D7.0103000	1	1	2333.383614289	4246.60734228817	1	1	1	2006.91466984899	5069.77381073033
PF3D7.0103100	3470.91929914016	1	9261.75654855493	15866.8903425695	1	1	6979.15425428129	8288.25202113069	6517.44595417139
PF3D7.0103200	10313.1176804949	2371.87214556365	9701.5007641071	4974.93181309075	1	1	9739.7168313485	6668.83986073054	4611.62999662376
PF3D7.0103300	5828.69088384186	5101.10311441186	7076.57021395562	5580.44961923922	3065.46996773359	4320.83101283466	6103.0064086034	2716.07845381945	5308.3968162242
PF3D7.0103400	26329.1155372587	6822.79953156909	37044.7508934021	51472.7954941127	47341.5157390556	75556.186696796	28379.8667836148	53716.4461518667	36146.8798810491
PF3D7.0103500	5315.82103677963	1	6846.35427488226	3846.94743178771	1196.08917329173	2713.42936909778	10327.5663375474	4550.18902694918	13876.6833993879
PF3D7.0103600	12192.3913859437	2438.54420659032	17225.4518219676	10364.694021198	1261.96085733036	4727.26593745583	15269.7553215091	15723.3121442784	27273.1637038294
PF3D7.0103700	2916.17500583298	1	3238.93354049174	1	1	1	7041.57541919626	6684.9830173404	6963.6310719881
PF3D7.0103800	1	1	1	2885.13989986705	1	1	1	5224.58727751134	1
PF3D7.0103900	11118.1285420122	1	13743.2974765419	7159.61286594518	1	1	9085.00140900287	4155.66468782362	2267.55953004781
PF3D7.0104000	1	1	1	1	1	1	1	1	1
PF3D7.0104100	1	1	3702.26630087445	10640.9490492269	1	1	1	2520.97183122755	1
PF3D7.0104200	4841.08766805842	1804.77530657909	6493.95045839181	8200.64381347812	24226.8461910689	50080.856809604	7262.26127631358	2924.79831452964	1757.57735980095
PF3D7.0104300	31444.5419648248	77601.4809752133	35725.0474666221	29361.737192489	176703.686964273	80046.7926051016	40142.4432266942	13281.5404119097	28253.3637946048
